category,city/state,language,impact,Type of Policy,expiration,section
Gives officers unfair access to information,Wichita,"When an employee is charged with misconduct which does or reasonably may result in the imposition of major disciplinary action, the employee shall be notified in writing of the charge within ninety-six (96) hours from the time that the charge/complaint is processed, the Department shall send written notification to the employee. The notification shall state the factual details of the accusations of the misconduct, the order, regulation, policy or law, of any alleged violation; the names and addresses of all witnesses; and all other material facts known to the City and its employees. The employee shall have the right to inspect and request copies of the record of the Professional Standards file of the employee. All records, reports, statements and information contained in the Professional Standards files are confidential and may only be used by the employee in a grievance, as described in Article XIV, regarding discipline imposed in the matter which is the subject of records, statements and information obtained from the Professional Standards file.",Gives officers access to the names and addresses of complainants prior to an interrogation,Contract,12/24/10,13.2.b
Gives Officers Unfair Access to Information,Oxnard,The employee under investigation shall be informed of the nature of the investigation prior to any interview. ,Allows officers to know nature of complaint ,Contract,08/31/2018,Article XXI.C
Gives Officers Unfair Access to Information,Oxnard,"If a tape recording is made of the interview, the employee shall have access to the tape if any further proceedings are contemplated or prior to any further interview at a subsequent time. ",Provides officers with recording of interrogation,Contract,08/31/2018,Article XXI.G.
Gives Officers Unfair Access to Information,Pasadena ,"2. An employee under investigation may, upon request, receive a copy of the following prior to the officer's interrogations: (a) any citizen complaint and/or department complaint which forms the basis for the internal affairs investigation; (b) any statements prepared by the subject employee (such as written reports to superior officers) or summaries or MAV video/audio recordings or verbatim transcriptions of any statements of the subject employee prepared by another person which the subject officer knowingly gave and which relates to the matter under investigation, such as pre-investigation interviews.",Allows officers to know nature of complaint,Contract,06/30/2018,Article 20.B
Gives Officers Unfair Access to Information,Pasadena ,"7. Cause a recorded record to be made of the interview, which shall be available to the employee on request. ",Provides officers with recording of interrogation,Contract,06/30/2018,Article 20.B
Gives Officers Unfair Access to Information,Torrance ,"1) Prior to the imposition of a suspension, demotion, or discharge, an employee shall receive a written statement of charges and nature of the recommended discipline, at least five (5) days prior to the scheduling of a Skelly conference.",Gives access to officers prior to the hearing. ,Contract,06/30/2019,Section 9.9.A
Gives Officers Unfair Access to Information,Hanford,"The notice shall be served upon the employee personally and shall include: (A) A statement of the nature of the disciplinary action; (B) The effective date of the proposed action; (C) A statement of the causes therefor;
(D) A statement in ordinary and concise language of the act or omissions upon which the causes are based; (E) A statement advising the employee that copies of files and records
bearing on the matter are available to the employee (F) A statement advising the employee of his/her right to respond, either orally or in writing, to the authority taking the action.",Provides officer with more information than given to civilians. ,Contract,06/30/2019,3.01.III.
Gives Officers Unfair Access to Information,Manhattan Beach,"If an employee is to receive a letter of reprimand, be suspended, receive a reduction in pay, be demoted or discharged, the employee shall:
1) Receive written notice of the intended action at least 7 working days before the date it is intended to become effective, which provides the specific grounds and the particular facts
upon which the action is based.
2) Receive copies of any known materials, reports or other documents upon which the intended action is based.
",Provides officer and representative with ambiguous amount information. ,Contract,12/31/2018,25.A.B
Gives Officers Unfair Access to Information,Modesto,"If a tape recording is made of the interrogation, the public
safety officer shall have access to the tape if any further proceedings are contemplated or prior to any further interrogation at a
subsequent time.",Furnishes officers with the recording of the interrogation. ,Contract,06/30/2019,33.03.G. 
Gives Officers Unfair Access to Information,Murrieta,"No officer shall have any comment adverse to his/her interest
entered in their official personnel file, without the officer having first read and
signed the document containing the adverse comment indicating he/she is aware
of such comment. If after reading the document the officer refuses to sign it, that
fact shall be noted on that document, and signed or initialed by the officer and
the document will be placed in the personnel file.",Allows officers to review statements prior to submitting it into the personnel file. ,Contract,12/31/2019,17.D. 
Gives Officers Unfair Access to Information,Ontario,"B. The notice must contain the reasons and the charges upon which the proposed action is
based.
C. The notice must also contain a statement of the events or circumstances upon which the
action is based.
D. The employee must be given the materials, if any, upon which the action is based.
E. The employee must be given the right, either orally or in writing, to respond to the department
head or the City Manager (in the case of a discharge) proposing the action. This procedure
will be consistent with Provision 13.08(M) of the grievance procedure. 
",Provides officer with details of case not afforderd to civilians under investigation,Contract,06/30/2018,VII.7.01.
Gives Officers Unfair Access to Information,Palo Alto,"The notice of disciplinary action shall include:
(1) Statement of the nature of the disciplinary action;
(2) Effective date of the action;
(3) Statement of the cause thereof;
(4) Statement in ordinary and concise language of the art or the omissions upon
which the causes are based;
(5) Copies of any documents or other items of evidence upon which the disciplinary
action was fully or in part based;
(6) Statement advising the employee of his/her right to appeal from such action, and
the right to Association representation. ",Provides officers with information not afforded to civilians. ,Contract,06/30/2021,37.C.
Gives Officers Unfair Access to Information,Pittsburg,"After the employee has responded to the Notice of Proposed Disciplinary Action,
or the time to respond has passed, and if the author of the Notice still determines
that discipline is appropriate, then the employee shall be provided with a Notice of
Discipline. The Notice of Discipline shall include the following:
1. A statement of the action to be taken and the effective date;
2. A copy of the charges, including the acts or omissions and grounds upon
which the action is based;
28
3. If it is claimed that the employee has violated a rule or regulation of the City
or department, a copy of said rule or regulation shall be included with the
Notice of Discipline or a statement shall be included that copies of said rule
or regulation have already been provided to the employee with the Notice
of Proposed Disciplinary Action;
4. A copy of materials upon which the action is based or a statement that such
materials have already been provided to the employee;
5. A statement addressing the responses to the charges by the employee, if
any;and
6. Notification to the employee of his/her right to appeal the imposed discipline.",Provides officers with information not afforded to civilians. ,Contract,06/30/2020,15.3.2.
Gives Officers Unfair Access to Information,Rialto,"To be informed of the name, rank, and command ofthe officer in charge of an interrogation,
in advance of the interrogations;",Provides officers with information prior to interrogation which is a privelege not afforded to civilians. ,Contract,07/31/2016,22.4.
Gives Officers Unfair Access to Information,Santa Cruz,"Prior to imposing disciplinary action, the supervisor shall first provide the employee a preliminary written notice of the proposed action stating the effective date and the specific grounds and particular facts upon which the action will be taken. The employee shall have access to any known written materials, reports or documents upon which the action is based. If the employee decides to exercise his/her right to respond to the charges (Skelly hearing), s/he shall advise the Chief of Police of his/her desire to exercise his/her rights within five (5) working days from receipt of notice. ",Gives officers access to all evidence prior to an interrogation,Contract,03/06/2020,25.02
Gives Officers Unfair Access to Information,South San Francisco,"The written notice shall contain the type of disciplinary action, the effective date of the action, the reason or cause for the action, that the employee will be provided copies of all materials upon which the action is based, and that the employee has the right to respond, either orally or in writing, to the authority initially imposing the discipline. As required by law, the department will provide copies of materials relied upon in proposing the discipline at the time discipline is proposed.",Gives officers access to all evidence prior to an interrogation,Contract,6/30/2022,11.4.1.
Gives Officers Unfair Access to Information,West Sacramento,"The notice shall be accompanied by copies of all material on which the charges and recommendations are based. If the materials are too voluminous to copy easily or are confidential within the Public Records Act, the City shall provide a description of the materials and/or a reasonable opportunity will be given to inspect,  ummarize or make copies. a. The employee or authorized Association representative may copy and inspect their personnel file. b. The employee or authorized Association representative may copy and inspect only the parts of other City records which the employee generated in their job, unless the Chief of Police or Director of Community Development, as appropriate, orders broader discovery.
",Provides officer with access to to all files. ,Contract,12/31/2020,23.8.4
Gives Officers Unfair Access to Information,Vacaville,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Vacaville,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Vacaville,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Carlsbad,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Carlsbad,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Carlsbad,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Mountain View,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Mountain View,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Mountain View,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Tracy,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Tracy,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Tracy,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Culver City,"Prior to any interview, a member shall be informed of the nature of the investigation, the name, rank and command of the officer in charge of the investigation, the interviewing officers and all other persons to be present during the interview.",Allows officer to review statements,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Culver City,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,306.7
Gives Officers Unfair Access to Information,Daly City,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Daly City,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chula Vista,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chula Vista,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Chula Vista,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Walnut Creek,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Walnut Creek,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Walnut Creek,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Irvine,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Irvine,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Irvine,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Alameda,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Alameda,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Alameda,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Westminster,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Westminster,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Westminster,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Livermore,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,309.7
Gives Officers Unfair Access to Information,Livermore,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,309.7
Gives Officers Unfair Access to Information,Livermore,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,309.8
Gives Officers Unfair Access to Information,Sunnyvale,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,304.8
Gives Officers Unfair Access to Information,Sunnyvale,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,304.8
Gives Officers Unfair Access to Information,Salinas,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Salinas,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Salinas,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Fairfield,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,309.7
Gives Officers Unfair Access to Information,Fairfield,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,309.7
Gives Officers Unfair Access to Information,Fairfield,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,309.8
Gives Officers Unfair Access to Information,Downey,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Downey,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Downey,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Pleasanton,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Pleasanton,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Pleasanton,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Inglewood,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Inglewood,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Inglewood,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Union City,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Union City,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Union City,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Richmond,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Richmond,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Richmond,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Pomona,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,304.7
Gives Officers Unfair Access to Information,Pomona,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,304.7
Gives Officers Unfair Access to Information,Pomona,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,304.8
Gives Officers Unfair Access to Information,South San Francisco,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,South San Francisco,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,South San Francisco,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Simi Valley,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Simi Valley,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,305.7
Gives Officers Unfair Access to Information,Simi Valley,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,305.8
Gives Officers Unfair Access to Information,Pasadena,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Pasadena,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Pasadena,"Any officer involved in a shooting or death may be permitted to review available Mobile Audio/
Video (MAV), body-worn video, or other video or audio recordings prior to providing a recorded
statement or completing reports.
Upon request, non-law enforcement witnesses who are able to verify their presence and their
ability to contemporaneously perceive events at the scene of an incident may also be permitted
to review available MAV, body-worn video, or other video or audio recordings with approval of
assigned investigators or a supervisor.
Any MAV, body-worn and other known video or audio recordings of an incident should not be
publicly released during an ongoing investigation without consulting the prosecuting attorney or
City Attorney’s Office, as appropriate.",Permits officer to review body cam footage. ,Policy Manual,2016,310.8
Gives Officers Unfair Access to Information,Fremont,"The involved officer shall be provided with a copy of his/her prior statement before proceeding with any
subsequent interviews.",Allows officer to review statements,Policy Manual,2016,310.7
Gives Officers Unfair Access to Information,Fremont,"Administrative interviews should be recorded by the investigator. The officer may
also record the interview (Government Code § 3303(g)).",Permits officer to record interview.,Policy Manual,2016,310.7
