category,city/state,language,impact,Type of Policy,expiration,section,,,,
Erases Misconduct Record,Vallejo,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Chico,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Visalia,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Visalia,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Gardena,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1013.8,,,,LEOBR
Erases Misconduct Record,Newport,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Newport,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,San Bernardino,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,San Bernardino,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Milpitas,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Murrieta,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1025.8,,,,LEOBR
Erases Misconduct Record,Santa Barbara,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Santa Ana,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Santa Ana,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Bakersfield,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,LEOBR,,LEOBR
Erases Misconduct Record,Bakersfield,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,San Mateo,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2017,1026.8,,,,LEOBR
Erases Misconduct Record,San Mateo,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2017,450.7.1,,,,
Erases Misconduct Record,Riverside,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than five years from the
underlying complaint date , pursuant to the City's record retention schedule.",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2017,1012.8,,,,LEOBR
Erases Misconduct Record,Redwood,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,LEOBR,,LEOBR
Erases Misconduct Record,Redwood,"All recordings shall be retained for a period consistent with the requirements of the organization’s
records retention schedule but in no event for a period less than 180 days.",Files can be deleted after 180 days.,Policy Manual,2016,450.7.1,,,,
Erases Misconduct Record,Chino,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Garden Grove,"The file can be purged after all entries have been appropriately documented in the
employee's annual evaluation or up to one year from the date of occurrence, whichever
occurs first",Erases disciplinary records after a period of one year. ,Policy Manual,2015,1.2,,,,
Erases Misconduct Record,Garden Grove,Internal Affairs Files - In January of each year the Internal Affairs Sergeant will record a brief synopsis of all Internal Affairs files that are older than five years and submit this list to the Chief of Police. The Chief will determine which files are to be purged. The remaining files will be returned to the Internal Affairs Sergeant.,Erases internal affairs files after a five-year period.,Policy Manual,2015,3.25,,,,LEOBR
Erases Misconduct Record,Escondido,"Video deemed to be non-evidentiary in nature shall be saved for a
minimum of 60 days.",Creates statute of limitations on video data.,Policy Manual,2016,V.B.,,,,
Erases Misconduct Record,Escondido,Complaint investigations will be retained for five years plus current year.,Erases civilian complaints after a period of 5 years.,Policy Manual,2016,VIII.J.,,,,LEOBR
Erases Misconduct Record,Costa Mesa,"Formal citizen complaints and internal complaints and all related files not pending litigation or
other ongoing legal proceedings may be purged no sooner than five years from the underlying
complaint date, Penal Code 832.5.",Erases citizen complaints and internal complaints after a period of 5 years. ,Policy Manual,2016,1760.13,,,,LEOBR
Erases Misconduct Record,Costa Mesa,"The DAR and DVARS recordings shall be kept for a minimum of one-year, unless a specific
request is made to store them for a longer period. All",Creates statute of limitations on video data.,Policy Manual,2016,720.5,,,,
Erases Misconduct Record,Roseville,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date
(Penal Code § 832.5).",Erases complaints and other internal files after a period of five years. ,Policy Manual,2014,1026.8,,,,LEOBR
Erases Misconduct Record,Roseville,"All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from
the underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases disciplinary records after a period of two years. ,Policy Manual,2014,1026.8,,,,LEOBR
Erases Misconduct Record,Burbank,"All formal personnel complaints shall be maintained for a period of no less than five years. Per Government Code 34090, all personnel investigations shall be maintained for no less than two years. ",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1020.9.1.,,,,LEOBR
Erases Misconduct Record,Huntington Beach,"Formal citizen complaints and all related files not pending litigation or other ongoing legal proceedings may be purged no sooner than five years from the underlying complaint date (Penal Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Corona,"Formal citizen complaints and all related files not pending litigation or other ongoing legal proceedings may be purged no sooner than five years from the underlying complaint date (Penal Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2015,1026.8,,,,LEOBR
Erases Misconduct Record,Redondo Beach,"Formal citizen complaints and all related files not pending litigation or other ongoing legal proceedings may be purged no sooner than five years from the underlying complaint date (Penal Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2015,1026.8,,,,LEOBR
Erases Misconduct Record,Pittsburg,"Formal citizen complaints and all related files not pending litigation or other ongoing legal proceedings may be purged no sooner than five years from the underlying complaint date (Penal Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2015,1011.8,,,,LEOBR
Erases Misconduct Record,El Cajon,"Disciplinary Actions - In addition, upon request of the employee to the City Manager, the city will purge
disciplinary actions that do not relate to worker's compensation or unresolved liability claims and are
more than 5 years old, provided that no similar disciplinary actions have been imposed on said
employee.",Erases disciplinary actions after a period of five years. ,Policy Manual,,6.5.6,,,,
Erases Misconduct Record,Ventura,"All sustained citizen's complaints shall be maintained for a period of at least five years (Penal Code
§ 832.5). All internally initiated complaints shall be maintained at least two years (Government
Code § 34090 et seq.).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2017,1020.8.1,,,,LEOBR
Erases Misconduct Record,Santa Cruz,"Internal Affairs case files shall be retained for five years (per Penal Code § 832.5) and may
be purged after five years. Informal Inquiry files shall be retained for two years, and may be purged after two years.",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2008,1020.9.4,,,,LEOBR
Erases Misconduct Record,Elk Grove,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Oxnard,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2016,1026.8,,,,LEOBR
Erases Misconduct Record,Santa Monica,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2013,1026.8,,,,LEOBR
Erases Misconduct Record,Santa Maria,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2009,1026.8,,,,LEOBR
Erases Misconduct Record,El Monte,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2014,1026.8,,,,LEOBR
Erases Misconduct Record,Fullerton,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2013,1026.8,,,,LEOBR
Erases Misconduct Record,West Covina,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2017,1026.8,,,,LEOBR
Erases Misconduct Record,Ontario,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2017,1026.8,,,,LEOBR
Erases Misconduct Record,Palm Springs,"Formal citizen complaints and all related files not pending litigation or other ongoing legal
proceedings may be purged no sooner than five years from the underlying complaint date (Penal
Code § 832.5).
All other disciplinary files and investigations of non-citizen initiated complaints not pending
litigation or other ongoing legal proceedings may be purged no sooner than two years from the
underlying complaint date (Government Code § 34090; Government Code § 26202).",Erases civilian complaints after a period of 5 years and purges oral repreminds after a period of two years. ,Policy Manual,2014,1026.8,,,,LEOBR
Erases Misconduct Record,Amador County Sheriff's ,"If no disciplinary action, or other charge, follows the placement on administrative leave, all notices and other references to the employee's placement on administrative leave shall be removed from the employee's personnel file.",Removes grievances/complaints from personnel file if not sustained. ,MOU,2019,19.27,,,,
Erases Misconduct Record,Santa Clara Sheriff's,"Upon written request of the employee, all materials relating to discplinary actions recommended and taken shall be removed from the Personnel and Training file 3 years after any disciplinary action has been imposed, provided no additional action ahs been taken during the intervening period, except disciplinary actions involving unnecessary or excessive use of force, freternizing with inmates, use of drugs or narcotics, acceptance of gifts in exchange for favors or ""influence"", immoral conduct, criminal act.behavior, harassment and/or discrimination, or conviction of a misdemeanor or felony.",Erases misconduct records after 3 years.,MOU,2020,22.1,,,,
Erases Misconduct Record,Orange County Peace Officer Unit and Supervising Officer Unit ,"Any contents of an employee's official personnel file may be destroyed pursuant to an agreement between the Chief Human Resources Officer and the employee concerned or by an order of an arbitrator, court or impartialhearing officer unless the particular item is otherwise required by law to be kept.",Allows officers to destroy records of misconduct if the Chief Human Resources Officer agrees to it,MOU,2023,"Article IV, Section 2 (F)",,,,@deray
Erases Misconduct Record,Orange County Special Sherrifs Unit,"Any contents of an employee's official personnel file may be destroyed pursuant to an agreement between the Chief of Employee Relations and the employee concerned or by an order of an arbitrator, court or impartial hearing officer unless the particular item is otherwise required by law to be kept.",Allows officers to destroy records of misconduct if the Chief of Employee Relations agrees to it,MOU,2019,"Article III, Section 3 (F)",,,,@deray
Erases Misconduct Record,Ventura County,"UNFAVORABLE REPORTS ON PERFORMANCE (Counseling Memos, Written Admonishments, and Reprimands): If upon such counseling an employee's performance does not improve and disciplinary action could result, a written report shall be prepared by the supervisor, including specific suggestions for corrective actions, if appropriate. A copy shall be given to the employee and a copy filed in his personnel file. Provided no additional report has been issued during the intervening period, each report shall be removed from the employee's file at the end of two years if requested by the employee. The County agrees that such reports shall not be submitted nor should any reference be made to such reports by the County in Civil Service Commission hearings or arbitrations arising from appeals or grievances after the two-year period provided for under this Section.","Removes records of counseling memos, written admonishments and reprimands after two years",MOU,2021,"Article 20, Section 2002",,,,
Erases Misconduct Record,Tulare County -- Sheriff's Sergeants,"Upon an employee's request, a Memorandum of Counseling that is four years or older and that has not been used as a basis for any subsequent disciplinary action shall be immediately removed from an employee's official personnel file at Human Resources & Development and from any file at the Sheriff's Office.
",Removes records of counseling memos after four years,MOU,2019,Article 6,,,,
Erases Misconduct Record,Sacremento County,"After two (2) years from the receipt of a letter of reprimand by an employee, the employee may request removal of the letter of reprimand from the employee's divisional personnel folder and that the letter of reprimend in the employee's department personnel folder be sealed. The sealed letter of reprimand in the employee's departmentalal personnel folder shall be opened only upon order of the department head with a written notice to the employee as to the date of the opening.",Removes letters of reprimand after two years,MOU,2021,Section 16.5 (c),,,,
Erases Misconduct Record,San Bernadino Specialized Police Officer Unit & Specialized Peace Officer Supervsior Unit,"Negative information may be purged from the personnel records, subject to legal constraints, at the sole discretion of Human Resources or upon the request of the employee and upon approval of Human Resources and the employee shall be so notified.",Allows Human Resources to purge misconduct records,MOU,2019,Personnel Records,,,,
Erases Misconduct Record,Nevada County,"The letter of reprimand issued to an employee pursuant to this section shall, upon request of the affected employee, be removed from the employee's personnel file after a minimum of two years have lapsed, provided that during that intervening two-year period, the said employee has not been the subject of a sustained disciplinary action, received a less-than-satisfactory performance report or received an additional letter of reprimand.",Removes letters of reprimand after two years,MOU,2022,Article 8.1.C,,,,
Erases Misconduct Record,Merced,"For Unit 30, written reprimands issued for reasons other than use of excessive force, shall be removed from an employee's personnel file after twelve (12) months.","Removes written reprimands after 1 year, except for those involving excessive force",MOU,,Disciplinary Action E.3,,,,
Erases Misconduct Record,Santa Clara,"The County shall maintain a personnel file for each employee. Departments may also maintain a personnel file for each employee. Employees shall have the right to review their personnel file or authorize review by their representative.
No non-routine material will be inserted into the employee's personnel file without concurrent notice to the employee. Employees may cause to be placed in their personnel files responses to adverse material inserted therein within thirty days and a reasonable amount of correspondence originating from other sources directly related to their job performance.
Upon written request of the employee, all materials relating to
disciplinary actions recommended and taken shall be removed from the Personnel and Training
file three (3) years after any disciplinary action has been imposed, provided no additional action
has been taken during the intervening period, except disciplinary actions involving unnecessary",Removes discpline records after three years,MOU,2020,22.1,,,,
Erases Misconduct Record,San Joaquin,"An employee has the right to request in writing that a letter of reprimand be removed
from the employee's personnel file if two years have elapsed from the date of reprimand and there
has been no recurrence of the issue contained in the reprimand. If the reprimand is in the department or division personnel file, the request must be
directed to the department head or designee. If the reprimand is in the central Human Resources
Division files, the request must be directed to the Director of Human Resources. The department
head or designee, or the Director of Human Resources, whichever is appropriate, shall review the
request and, within fourteen (14) calendar days render a decision on the request. The decision of any
of the above individuals shall be final.",Removes letters of reprimand after two years if the Human Resources Director agrees,MOU,,11.4,,,,
Erases Misconduct Record,San Joaquin Sheriff Sergeant,"An employee has the right to request in writing that a letter of reprimand be removed from the
employee's personnel file if two years have elapsed from the date of reprimand and there has been no
recurrence of the issue contained in the reprimand.
If the reprimand is in the department or division personnel file, the request must be directed to the
department head or designee. If the reprimand is in the central Human Resources Division files, the
request must be directed to the Director of Human Resources. The department head or designee, or
the Director of Human Resources, whichever is appropriate, shall review the request and, within
fourteen (14) calendar days render a decision on the request. The decision of any of the above
individuals shall be final.",Removes letters of reprimand after two years if the Human Resources Director agrees,MOU,,11.4,,,,
Erases Misconduct Record,San Joaquin Peace Miscellanous,"An employee has the right to request in writing that a letter of reprimand be removed from
the employee's personnel file if two years have elapsed from the date of reprimand and there has
been no recurrence of the issue contained in the reprimand.
If the reprimand is in the department or division personnel file, the request must be directed
to the department head or designee. If the reprimand is in the central Personnel Division files, the
request must be directed to the Director of Human Resources. The department head or designee, or
the Director of Human Resources, whichever is appropriate, shall review the request and, within fourteen (14) calendar days render a decision on the request. The decision of any of the above
individuals shall be final.",Removes letters of reprimand after two years if the Human Resources Director agrees,MOU,,11.4,,,,
Erases Misconduct Record,Monterey County,"An employee who receives a written reprimand that does not involve a reduction
in salary or loss of pay may request an evidentiary hearing with the next level of
supervision/management above the individual issuing the written reprimand.
The employee shall also retain his/her right of rebuttal. If it is in writing, the rebuttal shall be
attached to the reprimand and placed in the employee’s personnel file. If after the hearing,
the Appointing Authority, or his/her authorized designee decides to remove the written
reprimand from the employee’s personnel file, the employee’s rebuttal (if any) shall
likewise be removed.",Removes letters of reprimand if the Appointing Authority agrees,MOU,2019,11.11.3,,,,
Erases misconduct records,Albuquerque,"Human Resources Department files are a permanent record of an employee's performance with the City of Albuquerque. Such files will not be purged. However, employees who have been cleared of any charges shall not have reference of these charges included in their permanent personnel file.",Erases records if charges are dropped,Contract,7/16/15,18.1.5,1,,Yes,@samswey
Erases misconduct records,Albuquerque,Derogatory material may be purged within twelve (12) months from the employee's departmental file at the department head's discretion.,Erases records at department head's discretion,Contract,7/16/15,18.1.4,2,,Yes,@samswey
Erases misconduct records,Anchorage,"All disciplinary matters will be removed from the personnel file at the following times and under the following circumstances -- one year for oral/written reprimand and two years after imposition of a suspension, demotion, or disciplinary transfer.",Erases sustained violations after 1 year (reprimand) or 2 years (suspension/transfer/demotion),Contract,6/30/18,5.1.H,16,,Yes,@samswey
Erases misconduct records,Arizona Police Bill of Rights,"Except for a preemployment polygraph after which an applicant was not hired or in the case of an active investigation or an appeal, the data and reports from a polygraph examination of a law enforcement officer shall be destroyed as soon as practicable three years after the date of appointment or employment but not more than ninety calendar days after that date.",Erases the results of lie detector tests from an officer's record after three years,State Law,None,38-1108.C,587,,Yes,@samswey
Erases misconduct records,Austin,"Records are not fully preserved, since records of suspensions (three days or less) are erased and replaced with a written reprimand.
 
 c) Reductions of Suspensions of Three (3) Days or Less to a Written Reprimand
 
 The parties agree that temporary suspensions of 1, 2, or 3 days that were imposed on or after March 25, 2001, will be automatically reduced to a written reprimand under the following conditions:
 
 (1) Suspensions of 1, 2, or 3 days, which are/were not appealed, shall be reduced to a written reprimand two (2) years after the date the suspension was served on the Officer if:
 
 i. The Officer does/did not have a sustained complaint for substantially similar conduct within two (2) years from the date the suspension was served on the Officer.
 
 (2) Suspensions of 1, 2, or 3 days, which are/were not appealed, shall be reduced to a written reprimand three (3) years after the date the suspension was served on the Officer if:
 
 i. The Officer has been previously disciplined for substantially similar conduct, and;
 
 ii. The Officer does/did not have a sustained complaint for substantially similar conduct within the next three (3) years from the date the suspension was served on the Officer.
 
 (3) Any controversy over whether or not the prior conduct was substantially similar may be presented to a Hearing Examiner under the other provisions of this Article.
 
 (4) Suspensions of 1, 2, or 3 days that are/were appealed to the Civil Service Commission or a Hearing Examiner are not eligible for reduction to a written reprimand under this AGREEMENT.
 
 (5) Suspensions of 1, 2, or 3 days that are/were reduced to a written reprimand shall not be introduced, cited, or used in any manner in subsequent disciplinary suspensions or appeals as to that Officer, but the original disciplinary decision is not covered by
 
 37 this Section as to contentions of disparate discipline by other Officers.","Erases records of 1-3 day suspension, replaces with written reprimand",Contract,9/30/17,18.1.C,25,,Yes,@samswey
Erases misconduct records,Baltimore,"If an accident is found to have been non-preventable, all records of the accident shall be expunged from the member's file. If a member requests expungement of a formal complaint or other material from any file of the member pursuant to the Law Enforcement Officers' Bill of Rights, the complaint and/or material shall be expunged within sixty (60) days of the request. The Department agrees promptly to give the member written notice that the records have been expunged pursuant to his or her request.","Erases records if accidents are found to be non-preventable, erases records in accordance with officer's bill of rights",Contract,9/30/16,16.G,45,,Yes,@samswey
Erases misconduct records,Baton Rouge,"During the term of this Agreement all letters of instruction, letters of caution, or counseling letters issued to each Employee which are reduced to writing shall be placed in his or her file in the Chief's Office, shall be duplicated and a copy shall be sent to the Employee. The letter shall be removed within twelve (12) months of the date of issuance if no other letters of caution, instruction or counseling are received by the employee. The removal of documents shall be for administrative purposes only and all such records shall be maintained to the extent required by the public records law.","Erases letters of instruction, letters of caution, and counseling letters from an officer's record after 1 year.",Contract,12/31/16,VIII.a,52,,Yes,@samswey
Erases misconduct records,Baton Rouge,"If a complaint against an officer after an investigation is found to be ""sustained"" then all references will be purged after 18 months providing the officer has no other complaints during that 18 month period.","Erases complaints that were ""sustained"" after 18 months if no similar complaints are filed within that amount of time",Contract,12/31/16,IX.b.2,53,,Yes,@samswey
Erases misconduct records,Baton Rouge,"If a complaint against an officer after investigation is found to be ""not sustained"" then all references to same will be purged after 18 months providing the officer as no other complaints during that 18 month period.","Erases complaints that were not ""sustained"" after 18 months",Contract,12/31/16,IX.b.3,54,,Yes,@samswey
Erases misconduct records,Baton Rouge,"If Any Complaint: Results in suspension, then all records will be destroyed after 5 years unless there are similar complaints within that time period.
 
 Results in demotion then all records will be destroyed after 5 years unless there are similar complaints within that time period.
 
 Involves sexual misconduct then all records will be destroyed after 5 years unless there are similar complaints within that time period.
 
 Involves sexual harassment then all records will be destroyed after 5 years unless there are similar complaints within that time period.
 
 Involves domestic violence then all records will be destroyed after 5 years unless there are similar complaints within that time period.",Erases sustained violations after 5 years,Contract,12/31/16,IX.B.4,55,,Yes,@samswey
Erases misconduct records,Chandler,"Upon written request, a unit member may have written reprimands, suspensions, and letters of admonishment, which are over three (3) years old removed from the department working file when there have been no incidents or problems of a similar nature within the three (3) year period immediately preceding the request. A unit member may request to have letters of instruction and counseling statements, which are over one (1) year old removed from the department working file.",Erases sustained violations after 3 years,Contract,6/30/16,1.4.J,68,,Yes,@samswey
